Subcategory,Food,Serving,Calories
Meat,Alligator,100 g,97 Cal
Meat,Beef,100 g,156 Cal
Meat,Beef Bologna,100 g,299 Cal
Meat,"Beef Fillet, Beef Tenderloin",100 g,121 Cal
Meat,Beef Heart,100 g,105 Cal
Meat,Beef Jerky,100 g,269 Cal
Meat,Beef Kidney,100 g,48 Cal
Meat,Beef Liver,100 g,131 Cal
Meat,Beef Patty,100 g,295 Cal
Meat,Beef Roast,100 g,216 Cal
Meat,Beef Stew,100 g,251 Cal
Meat,Beef Tongue,100 g,221 Cal
Meat,Beef Tripe,100 g,85 Cal
Meat,Bison Meat,100 g,146 Cal
Meat,Brawn,100 g,140 Cal
Meat,Buffalo,100 g,99 Cal
Meat,Buffalo Wings,100 g,312 Cal
Meat,Caribou,100 g,166 Cal
Meat,Chicken,100 g,166 Cal
Meat,Chicken Breast,100 g,101 Cal
Meat,Chicken Breast Fillet,100 g,118 Cal
Meat,"Chicken Breast, fried",100 g,105 Cal
Meat,"Chicken Breast, grilled",100 g,107 Cal
Meat,Chicken Drumstick,100 g,149 Cal
Meat,Chicken Liver,100 g,136 Cal
Meat,Chicken Thigh,100 g,173 Cal
Meat,"Chicken Thigh, cooked",100 g,141 Cal
Meat,"Chicken Thigh, grilled, roasted",100 g,164 Cal
Meat,Chicken Wings,100 g,191 Cal
Meat,Corned Beef,100 g,141 Cal
Meat,Cubed Steak,100 g,196 Cal
Meat,Duck,100 g,227 Cal
Meat,Duck Breast,100 g,209 Cal
Meat,Duck Liver,100 g,130 Cal
Meat,Filet Mignon,100 g,98 Cal
Meat,Flank Steak,100 g,165 Cal
Meat,Goose,100 g,342 Cal
Meat,Ground Beef,100 g,208 Cal
Meat,Hot Wings,100 g,252 Cal
Meat,Lamb,100 g,117 Cal
Meat,Lamb Chops,100 g,298 Cal
Meat,Meatball,100 g,214 Cal
Meat,Moose,100 g,102 Cal
Meat,Mutton,100 g,183 Cal
Meat,New York Strip Steak,100 g,205 Cal
Meat,Peking Duck,100 g,98 Cal
Meat,Philly Cheese Steak,100 g,212 Cal
Meat,Pigeon,100 g,294 Cal
Meat,Pork,100 g,279 Cal
Meat,Pork Belly,100 g,197 Cal
Meat,Pork Chop,100 g,133 Cal
Meat,Pork Liver,100 g,129 Cal
Meat,Pork Loin,100 g,106 Cal
Meat,Pork Roast,100 g,296 Cal
Meat,Pork Shoulder,100 g,219 Cal
Meat,Pork Skin,100 g,621 Cal
Meat,Pork Steak,100 g,106 Cal
Meat,Rabbit,100 g,152 Cal
Meat,Racoon,100 g,255 Cal
Meat,Rhea,100 g,174 Cal
Meat,Rib Eye Steak,100 g,241 Cal
Meat,Roast Beef,100 g,130 Cal
Meat,Rotisserie Chicken,100 g,188 Cal
Meat,Round Steak,100 g,161 Cal
Meat,Rump Steak,100 g,214 Cal
Meat,Sausage Patty,100 g,288 Cal
Meat,Sirloin Steak,100 g,182 Cal
Meat,Skirt Steak,100 g,121 Cal
Meat,Spam,100 g,476 Cal
Meat,"Spare Ribs, Pork Ribs",100 g,320 Cal
Meat,Squirrel,100 g,120 Cal
Meat,Steak Sandwich,100 g,326 Cal
Meat,Turkey,100 g,157 Cal
Meat,Venison,100 g,108 Cal
Fruit,Acai Berry,100 g,59 Cal
Fruit,Ackee,100 g,224 Cal
Fruit,Apple,100 g,64 Cal
Fruit,Apricot,100 g,45 Cal
Fruit,"Apricot, dried",100 g,269 Cal
Fruit,Asian Pear,100 g,42 Cal
Fruit,"Avocado, Hass Avocado",100 g,161 Cal
Fruit,Banana,100 g,92 Cal
Fruit,"Banana, small",100 g,89 Cal
Fruit,"Bartlett Pear, Williams Pear",100 g,55 Cal
Fruit,Blackberries,100 g,43 Cal
Fruit,Blood Orange,100 g,43 Cal
Fruit,Blueberries,100 g,46 Cal
Fruit,Breadfruit,100 g,103 Cal
Fruit,Cactus Pear,100 g,46 Cal
Fruit,Cantaloupe,100 g,56 Cal
Fruit,Carob,100 g,188 Cal
Fruit,Chayote,100 g,19 Cal
Fruit,Cherries,100 g,64 Cal
Fruit,Clementine,100 g,49 Cal
Fruit,Coconut,100 g,384 Cal
Fruit,Concord Grape,100 g,86 Cal
Fruit,Cranberries,100 g,76 Cal
Fruit,"Cranberries, dried",100 g,315 Cal
Fruit,Currant,100 g,40 Cal
Fruit,Dates,100 g,294 Cal
Fruit,"Dates, Medjool Dates",100 g,277 Cal
Fruit,Dragon Fruit,100 g,60 Cal
Fruit,Dried Fruit Mix,100 g,258 Cal
Fruit,Durian,100 g,151 Cal
Fruit,Elderberries,100 g,348 Cal
Fruit,Fig,100 g,66 Cal
Fruit,"Fig, dried",100 g,270 Cal
Fruit,"Fruit Salad, Mixed Fruit",100 g,63 Cal
Fruit,Goji Berry,100 g,325 Cal
Fruit,Gooseberries,100 g,43 Cal
Fruit,Grapefruit,100 g,47 Cal
Fruit,Grapes,100 g,72 Cal
Fruit,Guava,100 g,44 Cal
Fruit,Huckleberry,100 g,429 Cal
Fruit,Jackfruit,100 g,80 Cal
Fruit,Jujube,100 g,115 Cal
Fruit,Kiwi,100 g,61 Cal
Fruit,Kumquat,100 g,75 Cal
Fruit,Lemon,100 g,38 Cal
Fruit,Lime,100 g,48 Cal
Fruit,Longan,100 g,74 Cal
Fruit,Lychee,100 g,78 Cal
Fruit,Mandarin Orange,100 g,53 Cal
Fruit,Mango,100 g,61 Cal
Fruit,Mangosteen,100 g,76 Cal
Fruit,Maraschino Cherries,100 g,35 Cal
Fruit,"Melon, Galia Melon",100 g,56 Cal
Fruit,"Melon, Honeydew Melon",100 g,56 Cal
Fruit,"Melon, Musk melon",100 g,56 Cal
Fruit,"Melon, Water Melon",100 g,38 Cal
Fruit,"Melon, Winter Melon",100 g,30 Cal
Fruit,"Melon, Yellow Melon",100 g,30 Cal
Fruit,"Mixed Berries, frozen",100 g,67 Cal
Fruit,Mulberries,100 g,47 Cal
Fruit,Nectarine,100 g,59 Cal
Fruit,Nopal,100 g,321 Cal
Fruit,"Olive, black",100 g,320 Cal
Fruit,"Olive, green",100 g,141 Cal
Fruit,Orange,100 g,47 Cal
Fruit,Papaya,100 g,35 Cal
Fruit,Passion Fruit,100 g,66 Cal
Fruit,Pawpaw,100 g,80 Cal
Fruit,Peach,100 g,44 Cal
Fruit,Pear,100 g,57 Cal
Fruit,"Persimmon, Khaki",100 g,75 Cal
Fruit,Pineapple,100 g,58 Cal
Fruit,Pink Grapefruit,100 g,47 Cal
Fruit,Plantain,100 g,125 Cal
Fruit,"Plantain, fried",100 g,309 Cal
Fruit,Plum,100 g,48 Cal
Fruit,Poha,100 g,379 Cal
Fruit,Pomegranate,100 g,79 Cal
Fruit,Pomelo,100 g,47 Cal
Fruit,Prickly Pear,100 g,31 Cal
Fruit,Prunes,100 g,48 Cal
Fruit,"Prunes, dried",100 g,250 Cal
Fruit,Quince,100 g,50 Cal
Fruit,Raisin,100 g,310 Cal
Fruit,Rambutan,100 g,69 Cal
Fruit,Raspberries,100 g,43 Cal
Fruit,Rhubarb,100 g,20 Cal
Fruit,Rose Hips,100 g,162 Cal
Fruit,Satsuma,100 g,47 Cal
Fruit,Sour Cherries,100 g,54 Cal
Fruit,Soursop,100 g,33 Cal
Fruit,Star Fruit,100 g,30 Cal
Fruit,Strawberries,100 g,36 Cal
Fruit,Tamarind,100 g,290 Cal
Fruit,Tangelo,100 g,53 Cal
Fruit,Tomatillo,100 g,32 Cal
Pizza,BBQ Chicken Pizza,100 g,237 Cal
Pizza,Bianca Pizza,100 g,220 Cal
Pizza,Buffalo Chicken Pizza,100 g,211 Cal
Pizza,Calzone,100 g,227 Cal
Pizza,Capricciosa Pizza,100 g,169 Cal
Pizza,Cheese Pizza,100 g,303 Cal
Pizza,Chicken Pizza,100 g,243 Cal
Pizza,Deep Dish Pizza,100 g,265 Cal
Pizza,"Four Cheese Pizza, Quattro Formaggi",100 g,297 Cal
Pizza,Hawaiian Pizza,100 g,196 Cal
Pizza,Margherita Pizza,100 g,240 Cal
Pizza,Mozzarella Pizza,100 g,222 Cal
Pizza,Mushroom Pizza,100 g,201 Cal
Pizza,Napoli Pizza,100 g,234 Cal
Pizza,New York Style Pizza,100 g,237 Cal
Pizza,Pepperoni Pizza,100 g,239 Cal
Pizza,Pizza Dough,100 g,307 Cal
Pizza,"Pizza, homemade",100 g,274 Cal
Pizza,Salami Pizza,100 g,239 Cal
Pizza,Sausage Pizza,100 g,188 Cal
Pizza,Seafood Pizza,100 g,189 Cal
Pizza,Sicilian Pizza,100 g,183 Cal
Pizza,Spinach Pizza,100 g,183 Cal
Pizza,Stuffed Crust Pizza,100 g,274 Cal
Pizza,Supreme Pizza (Pizza Hut),100 g,243 Cal
Pizza,Thin Crust Pizza,100 g,273 Cal
Pizza,Tuna Pizza,100 g,227 Cal
Pizza,"Vegetable Pizza, Veggie Pizza, Vegetarian Pizza",100 g,154 Cal
Pizza,White Pizza,100 g,306 Cal
Vegetables & Legumes,Arrowroot,100 g,65 Cal
Vegetables & Legumes,Artichoke,100 g,44 Cal
Vegetables & Legumes,Asparagus,100 g,21 Cal
Vegetables & Legumes,"Asparagus, cooked",100 g,16 Cal
Vegetables & Legumes,Azuki Beans,100 g,361 Cal
Vegetables & Legumes,Baked Beans,100 g,105 Cal
Vegetables & Legumes,Bamboo Shoot,100 g,23 Cal
Vegetables & Legumes,Banana Pepper,100 g,27 Cal
Vegetables & Legumes,Bean Sprouts,100 g,47 Cal
Vegetables & Legumes,"Beetroot, Beets",100 g,46 Cal
Vegetables & Legumes,Bell Pepper,100 g,23 Cal
Vegetables & Legumes,Black Beans,100 g,373 Cal
Vegetables & Legumes,"Black Beans, cooked",100 g,89 Cal
Vegetables & Legumes,Black Chana,100 g,378 Cal
Vegetables & Legumes,Black Chickpeas,100 g,348 Cal
Vegetables & Legumes,Black Eyed Peas,100 g,314 Cal
Vegetables & Legumes,Bok Choy,100 g,17 Cal
Vegetables & Legumes,Broccoli,100 g,34 Cal
Vegetables & Legumes,"Broccoli, cooked",100 g,27 Cal
Vegetables & Legumes,"Broccoli, steamed",100 g,31 Cal
Vegetables & Legumes,Brown Lentil,100 g,116 Cal
Vegetables & Legumes,Brussels Sprouts,100 g,44 Cal
Vegetables & Legumes,Butternut Squash,100 g,46 Cal
Vegetables & Legumes,Cabbage,100 g,30 Cal
Vegetables & Legumes,"Cabbage, cooked",100 g,12 Cal
Vegetables & Legumes,Capsicum,100 g,40 Cal
Vegetables & Legumes,Carrot,100 g,39 Cal
Vegetables & Legumes,"Carrot, cooked",100 g,23 Cal
Vegetables & Legumes,"Carrot, roasted",100 g,40 Cal
Vegetables & Legumes,Cauliflower Rice,100 g,24 Cal
Vegetables & Legumes,Cauliflower,100 g,28 Cal
Vegetables & Legumes,Celeriac,100 g,27 Cal
Vegetables & Legumes,Celery,100 g,22 Cal
Vegetables & Legumes,Cherry Tomatoes,100 g,20 Cal
Vegetables & Legumes,Chickpeas,100 g,151 Cal
Vegetables & Legumes,"Chickpeas, canned",100 g,135 Cal
Vegetables & Legumes,Collard Greens,100 g,32 Cal
Vegetables & Legumes,"Corn, canned",100 g,81 Cal
Vegetables & Legumes,"Corn, on the Cob",100 g,45 Cal
Vegetables & Legumes,"Courgette, Zucchini",100 g,23 Cal
Vegetables & Legumes,Creamed Spinach,100 g,62 Cal
Vegetables & Legumes,Cucumber,100 g,14 Cal
Vegetables & Legumes,Daikon,100 g,38 Cal
Vegetables & Legumes,Dandelion,100 g,47 Cal
Vegetables & Legumes,Dill Pickles,100 g,12 Cal
Vegetables & Legumes,Dock,100 g,22 Cal
Vegetables & Legumes,Dried Tomatoes,100 g,78 Cal
Vegetables & Legumes,"Eggplant, Aubergine",100 g,20 Cal
Vegetables & Legumes,Fava Beans,100 g,89 Cal
Vegetables & Legumes,Fennel,100 g,23 Cal
Vegetables & Legumes,Fiddlehead,100 g,34 Cal
Vegetables & Legumes,Garbanzo,100 g,478 Cal
Vegetables & Legumes,Garlic,100 g,143 Cal
Vegetables & Legumes,Grape Leaves,100 g,93 Cal
Vegetables & Legumes,Grape Tomato,100 g,31 Cal
Vegetables & Legumes,Green Beans,100 g,39 Cal
Vegetables & Legumes,Green Lentils,100 g,352 Cal
Vegetables & Legumes,Green Onion,100 g,32 Cal
Vegetables & Legumes,Green Peas,100 g,91 Cal
Vegetables & Legumes,Heart of Palm,100 g,44 Cal
Vegetables & Legumes,Horse Gram,100 g,89 Cal
Vegetables & Legumes,Horseradish,100 g,78 Cal
Vegetables & Legumes,Jalapeno,100 g,29 Cal
Vegetables & Legumes,Japanese Sweet Potato,100 g,88 Cal
Vegetables & Legumes,Jerusalem Artichoke,100 g,73 Cal
Vegetables & Legumes,Jícama,100 g,38 Cal
Vegetables & Legumes,Kale,100 g,45 Cal
Vegetables & Legumes,Kelp,100 g,43 Cal
Vegetables & Legumes,Kidney Beans,100 g,298 Cal
Vegetables & Legumes,Kimchi,100 g,15 Cal
Vegetables & Legumes,Leek,100 g,31 Cal
Vegetables & Legumes,Lentils,100 g,331 Cal
Vegetables & Legumes,"Lentils, cooked",100 g,87 Cal
Vegetables & Legumes,Lima Beans,100 g,70 Cal
Vegetables & Legumes,Lotus Root,100 g,74 Cal
Vegetables & Legumes,Masoor Dal,100 g,129 Cal
Vegetables & Legumes,Moong Dal,100 g,313 Cal
Vegetables & Legumes,Mung Beans,100 g,313 Cal
Vegetables & Legumes,Mustard Greens,100 g,500 Cal
Vegetables & Legumes,Napa Cabbage,100 g,36 Cal
Vegetables & Legumes,Natto,100 g,207 Cal
Vegetables & Legumes,Navy Beans,100 g,337 Cal
Vegetables & Legumes,Okra,100 g,147 Cal
Vegetables & Legumes,Onion,100 g,30 Cal
Vegetables & Legumes,"Onion, cooked",100 g,30 Cal
Vegetables & Legumes,Parsnip,100 g,64 Cal
Vegetables & Legumes,"Peanuts, roasted",100 g,599 Cal
Vegetables & Legumes,Peas,100 g,91 Cal
Vegetables & Legumes,Pickle,100 g,28 Cal
Vegetables & Legumes,Pinto Beans,100 g,347 Cal
Vegetables & Legumes,"Pinto Beans, cooked",100 g,143 Cal
Vegetables & Legumes,Pumpkin,100 g,29 Cal
Vegetables & Legumes,"Pumpkin, canned",100 g,34 Cal
Vegetables & Legumes,Radicchio,100 g,17 Cal
Vegetables & Legumes,Radish,100 g,17 Cal
Vegetables & Legumes,Rapa Cabbage,100 g,28 Cal
Vegetables & Legumes,Red Beans,100 g,53 Cal
Vegetables & Legumes,Red Cabbage,100 g,27 Cal
Vegetables & Legumes,Red Lentils,100 g,367 Cal
Vegetables & Legumes,Red Onion,100 g,30 Cal
Vegetables & Legumes,Refried Beans,100 g,83 Cal
Vegetables & Legumes,Roma Tomato,100 g,20 Cal
Vegetables & Legumes,Runner Beans,100 g,39 Cal
Vegetables & Legumes,Rutabaga,100 g,36 Cal
Vegetables & Legumes,Shallot,100 g,25 Cal
Vegetables & Legumes,Soybean,100 g,149 Cal
Vegetables & Legumes,Spaghetti Squash,100 g,27 Cal
Vegetables & Legumes,Spinach,100 g,22 Cal
Vegetables & Legumes,"Spinach, cooked",100 g,19 Cal
Vegetables & Legumes,Spirulina,100 g,26 Cal
Vegetables & Legumes,String Beans,100 g,39 Cal
Vegetables & Legumes,Swede,100 g,36 Cal
Vegetables & Legumes,Sweet Onion,100 g,446 Cal
Vegetables & Legumes,Sweet Potato,100 g,116 Cal
Vegetables & Legumes,"Sweet Potato, baked",100 g,100 Cal
Vegetables & Legumes,"Sweet Potato, boiled",100 g,124 Cal
Vegetables & Legumes,Sweetcorn,100 g,94 Cal
Vegetables & Legumes,Swiss chard,100 g,21 Cal
Vegetables & Legumes,Taro,100 g,108 Cal
Vegetables & Legumes,Tomato,100 g,20 Cal
Vegetables & Legumes,Turnip,100 g,39 Cal
Vegetables & Legumes,Turnip Greens,100 g,32 Cal
Vegetables & Legumes,Vegetable Stock,100 g,24 Cal
Vegetables & Legumes,White Beans,100 g,120 Cal
Vegetables & Legumes,Yellow Bell Pepper,100 g,37 Cal
Vegetables & Legumes,Yellow Lentils,100 g,354 Cal
Vegetables & Legumes,Yucca,100 g,141 Cal
Vegetables & Legumes,Yukon Gold Potatoes,100 g,196 Cal
Beef & Veal,Beef,100 g,156 Cal
Beef & Veal,Beef Bologna,100 g,299 Cal
Beef & Veal,Beef Brisket,100 g,264 Cal
Beef & Veal,Beef Empanada,100 g,333 Cal
Beef & Veal,"Beef Fillet, Beef Tenderloin",100 g,121 Cal
Beef & Veal,Beef Heart,100 g,105 Cal
Beef & Veal,Beef Kidney,100 g,48 Cal
Beef & Veal,Beef Liver,100 g,131 Cal
Beef & Veal,Beef Noodle Soup,100 g,70 Cal
Beef & Veal,Beef Patty,100 g,295 Cal
Beef & Veal,Beef Ribs,100 g,167 Cal
Beef & Veal,Beef Roast,100 g,216 Cal
Beef & Veal,Beef Sirloin,100 g,360 Cal
Beef & Veal,Beef Stew,100 g,251 Cal
Beef & Veal,Beef Stick,100 g,583 Cal
Beef & Veal,Beef Tallow,100 g,902 Cal
Beef & Veal,Beef Tongue,100 g,221 Cal
Beef & Veal,Beef Tripe,100 g,85 Cal
Beef & Veal,Calf Liver,100 g,113 Cal
Beef & Veal,Chuck Steak,100 g,227 Cal
Beef & Veal,Corned Beef,100 g,141 Cal
Beef & Veal,Corned Beef Hash,100 g,164 Cal
Beef & Veal,Cubed Steak,100 g,196 Cal
Beef & Veal,Filet Mignon,100 g,98 Cal
Beef & Veal,Flank Steak,100 g,165 Cal
Beef & Veal,Flat Iron Steak,100 g,182 Cal
Beef & Veal,Ground Beef,100 g,208 Cal
Beef & Veal,"Ground Beef, 85% lean",100 g,215 Cal
Beef & Veal,"Ground Beef, 90% lean",100 g,176 Cal
Beef & Veal,Ground Chuck,100 g,250 Cal
Beef & Veal,Ground Round,100 g,125 Cal
Beef & Veal,"Jerky, Beef Jerky",100 g,457 Cal
Beef & Veal,New York Strip Steak,100 g,205 Cal
Beef & Veal,Philly Cheese Steak,100 g,212 Cal
Beef & Veal,Porterhouse Steak,100 g,139 Cal
Beef & Veal,Roast Beef,100 g,130 Cal
Beef & Veal,Round Steak,100 g,161 Cal
Beef & Veal,Rump Steak,100 g,214 Cal
Beef & Veal,Schnitzel,100 g,121 Cal
Beef & Veal,Sirloin Steak,100 g,182 Cal
Beef & Veal,Skirt Steak,100 g,121 Cal
Beef & Veal,Strip Steak,100 g,117 Cal
Beef & Veal,Tongue,100 g,282 Cal
Beef & Veal,Veal Meat,100 g,125 Cal
"Bread, Bread Rolls & Pastries",Arepa,100 g,267 Cal
"Bread, Bread Rolls & Pastries","Bagel, Cinnamon Raisin Bagel",100 g,274 Cal
"Bread, Bread Rolls & Pastries","Bagel, Egg Bagel",100 g,278 Cal
"Bread, Bread Rolls & Pastries","Bagel, Everything Bagel",100 g,345 Cal
